id,month,year,visits,no_of_appts,production
34,3,2014,1,960,76.55
34,4,2014,488,1089,106333.8
34,5,2014,831,993,192230.4
34,6,2014,753,884,163515.12
34,7,2014,721,797,160185.9
34,8,2014,551,667,120557.9
34,9,2014,828,1086,166124.21
34,10,2014,830,1079,192269.54
34,11,2014,901,1162,190041.17
34,12,2014,901,1093,201238.13
34,1,2015,817,1024,180120.48
34,2,2015,780,953,183521.8
34,3,2015,812,953,177431.73
34,4,2015,919,1132,190557.95
34,5,2015,776,965,161293.71
34,6,2015,896,1091,201101.39
34,7,2015,769,873,160133.57
34,8,2015,651,748,146324.22
34,9,2015,919,1065,188174.8
34,10,2015,982,1136,222776.05
34,11,2015,915,1091,194336.67
34,12,2015,947,1148,218716.06
34,1,2016,845,992,201637.59
34,2,2016,845,1025,198024.03
34,3,2016,937,1111,212020.18
34,4,2016,929,1182,211387.33
34,5,2016,926,1145,213658.73
34,6,2016,995,1244,239901.71
34,7,2016,748,891,164972.74
34,8,2016,774,917,169426.74
34,9,2016,868,1043,183836.59
34,10,2016,904,1111,211821.85
34,11,2016,1033,1232,239194.59
34,12,2016,937,1189,231628.2
34,1,2017,921,1120,210951.23
34,2,2017,767,995,186289.42
34,3,2017,1028,1202,245391.62
34,4,2017,879,1107,216547.37
34,5,2017,885,1004,206744.53
34,6,2017,879,1047,215653.82
34,7,2017,667,852,167096.35
34,8,2017,868,1030,196591.86
34,9,2017,907,1097,202139.78
34,10,2017,934,1206,206271.87
34,11,2017,997,1243,229634.37
34,12,2017,937,1105,233837.64
34,1,2018,976,1181,242677.98
34,2,2018,819,1064,181158.47
34,3,2018,894,1086,202426.34
34,4,2018,945,1197,220548.43
34,5,2018,1018,1270,243185.92
34,6,2018,949,1109,233682.45
34,7,2018,779,976,185199.52
34,8,2018,801,921,189473.23
34,9,2018,835,1003,213374.29
34,10,2018,984,1196,242987.74
34,11,2018,1012,1196,240634.08
34,12,2018,878,1038,221071.58
34,1,2019,967,1168,243052.49
34,2,2019,739,904,178355.79
34,3,2019,952,1245,207777.12
34,4,2019,952,1214,236252.76
34,5,2019,856,1155,215773.23
34,6,2019,910,1138,236566.25
34,7,2019,829,1062,201326.89
34,8,2019,733,921,191480.64
34,9,2019,844,1078,229481.01
34,10,2019,953,1218,244572.91
34,11,2019,888,1100,203729.72
34,12,2019,833,1010,221382.6
34,1,2020,901,1142,227161.54
34,2,2020,787,999,220753.15
34,3,2020,464,1036,119062.97
34,4,2020,11,466,2164.32
34,5,2020,119,438,22164.32
34,6,2020,605,706,160963.22
34,7,2020,856,951,211002.92
34,8,2020,820,1023,203085.37
34,9,2020,1014,1297,280337.25
34,10,2020,938,1164,248635.24
34,11,2020,881,1087,249723.15
34,12,2020,911,1071,300616.22
280,12,2012,1,71,160.0
280,1,2013,161,105,43437.71
280,2,2013,707,108,203934.88
280,3,2013,784,92,220708.78
280,4,2013,880,86,255003.79
280,5,2013,886,104,274928.61
280,6,2013,790,78,223361.25
280,7,2013,832,106,256278.28
280,8,2013,866,121,248691.2
280,9,2013,767,95,212048.97
280,10,2013,852,100,250141.68
280,11,2013,837,119,237218.73
280,12,2013,766,98,224575.52
280,1,2014,789,128,186994.34
280,2,2014,709,108,227383.19
280,3,2014,819,121,239792.16
280,4,2014,825,129,248734.19
280,5,2014,843,149,234492.57
280,6,2014,796,135,244105.79
280,7,2014,874,136,253646.95
280,8,2014,825,123,243573.81
280,9,2014,850,126,249494.19
280,10,2014,849,140,262128.93
280,11,2014,795,101,249152.71
280,12,2014,880,122,264367.49
